timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-09-02 04:06:25.157,run_29,19.9,40632320,4488491564,,,1
2025-09-02 04:06:25.261,run_29,0.0,40632320,3663549588,,,1
2025-09-02 04:06:25.362,run_29,0.0,40632320,4145710552,,,1
2025-09-02 04:06:25.462,run_29,0.0,40632320,3916537102,,,1
2025-09-02 04:06:25.572,run_29,0.0,40632320,3355524892,,,1
2025-09-02 04:06:25.662,run_29,0.0,40632320,4026353489,,,1
2025-09-02 04:06:25.775,run_29,0.0,40632320,3965265489,,,1
2025-09-02 04:06:25.864,run_29,20.0,40632320,4048706250,,,1
2025-09-02 04:06:25.963,run_29,0.0,40632320,3821837585,,,1
2025-09-02 04:06:26.068,run_29,0.0,40632320,4292169287,,,1
2025-09-02 04:06:26.163,run_29,0.0,40632320,3470506620,,,1
2025-09-02 04:06:26.276,run_29,0.0,40632320,5411698656,,,1
2025-09-02 04:06:26.379,run_29,20.0,40632320,6490314278,,,1
2025-09-02 04:06:26.474,run_29,0.0,40632320,6201277935,,,1
2025-09-02 04:06:26.577,run_29,39.9,40632320,6356612456,,,1
2025-09-02 04:06:26.683,run_29,0.0,40632320,4557356496,,,1
2025-09-02 04:06:26.781,run_29,0.0,40632320,6302995488,,,1
2025-09-02 04:06:26.887,run_29,20.0,40632320,5085503850,,,1
2025-09-02 04:06:26.978,run_29,0.0,40632320,5488788287,,,1
2025-09-02 04:06:27.084,run_29,0.0,40632320,5821879437,,,1
2025-09-02 04:06:27.183,run_29,20.0,40632320,5235978263,,,1
2025-09-02 04:06:27.284,run_29,0.0,40632320,4879551600,,,1
2025-09-02 04:06:27.384,run_29,20.0,40632320,5420199845,,,1
2025-09-02 04:06:27.492,run_29,0.0,40632320,4903779493,,,1
2025-09-02 04:06:27.574,run_29,39.9,40632320,5260865219,,,1
2025-09-02 04:06:27.679,run_29,20.0,41615360,5108855752,,,1
2025-09-02 04:06:27.778,run_29,0.0,41615360,5955737151,,,1
2025-09-02 04:06:27.891,run_29,20.0,41615360,5967484514,,,1
2025-09-02 04:06:27.985,run_29,20.0,41615360,5791135592,,,1
2025-09-02 04:06:28.074,run_29,0.0,41615360,5626302411,,,1
2025-09-02 04:06:28.184,run_29,20.0,41615360,6473316592,,,1
2025-09-02 04:06:28.293,run_29,20.0,41615360,5693249076,,,1
2025-09-02 04:06:28.377,run_29,0.0,41615360,6061546095,,,1
2025-09-02 04:06:28.485,run_29,0.0,41615360,6400641232,,,1
2025-09-02 04:06:28.586,run_29,0.0,41615360,6060177648,,,1
2025-09-02 04:06:28.681,run_29,0.0,41779200,5451411105,,,1
2025-09-02 04:06:28.782,run_29,0.0,41779200,4237109047,,,1
2025-09-02 04:06:28.886,run_29,0.0,41779200,5973352704,,,1
2025-09-02 04:06:28.985,run_29,0.0,41779200,6883568204,,,1
2025-09-02 04:06:29.086,run_29,0.0,41779200,6027339537,,,1
2025-09-02 04:06:29.186,run_29,20.0,41779200,6628664542,,,1
2025-09-02 04:06:29.280,run_29,0.0,41779200,6390291684,,,1
2025-09-02 04:06:29.381,run_29,0.0,41779200,6485206938,,,1
2025-09-02 04:06:29.485,run_29,20.0,41779200,5250131755,,,1
2025-09-02 04:06:29.585,run_29,20.0,41779200,6123567106,,,1
2025-09-02 04:06:29.681,run_29,20.0,41779200,6030622600,,,1
2025-09-02 04:06:29.780,run_29,20.0,41779200,6359143128,,,1
2025-09-02 04:06:29.894,run_29,20.0,41779200,5529212478,,,1
2025-09-02 04:06:29.979,run_29,0.0,41779200,7735470802,,,1
2025-09-02 04:06:30.084,run_29,0.0,41779200,6023089187,,,1
2025-09-02 04:06:30.184,run_29,0.0,41779200,7508986819,,,1
2025-09-02 04:06:30.282,run_29,0.0,41779200,5285558664,,,1
2025-09-02 04:06:30.376,run_29,0.0,41779200,5844580396,,,1
2025-09-02 04:06:30.484,run_29,20.0,41779200,6593739291,,,1
2025-09-02 04:06:30.589,run_29,20.0,41779200,6454994936,,,1
2025-09-02 04:06:30.678,run_29,0.0,41779200,6961127678,,,1
2025-09-02 04:06:30.782,run_29,20.0,41779200,5625710789,,,1
2025-09-02 04:06:30.897,run_29,19.9,41779200,6756366328,,,1
2025-09-02 04:06:30.985,run_29,20.0,41779200,5592980184,,,1
2025-09-02 04:06:31.084,run_29,20.0,41779200,6826878868,,,1
2025-09-02 04:06:31.186,run_29,20.0,41779200,6642561497,,,1
2025-09-02 04:06:31.286,run_29,20.0,41779200,5980637155,,,1
2025-09-02 04:06:31.383,run_29,20.0,41779200,7001708579,,,1
2025-09-02 04:06:31.492,run_29,20.0,41779200,6757342025,,,1
2025-09-02 04:06:31.590,run_29,20.0,41779200,6424984222,,,1
2025-09-02 04:06:31.691,run_29,20.0,41779200,5801877289,,,1
2025-09-02 04:06:31.786,run_29,0.0,41779200,5580763210,,,1
2025-09-02 04:06:31.885,run_29,0.0,41779200,5585747927,,,1
2025-09-02 04:06:31.981,run_29,0.0,41779200,6650451225,,,1
2025-09-02 04:06:32.085,run_29,0.0,41779200,5453278818,,,1
2025-09-02 04:06:32.196,run_29,0.0,41779200,7259308519,,,1
2025-09-02 04:06:32.284,run_29,20.0,41779200,7191563512,,,1
2025-09-02 04:06:32.387,run_29,20.0,41779200,7657136284,,,1
2025-09-02 04:06:32.486,run_29,0.0,41779200,7791814656,,,1
2025-09-02 04:06:32.594,run_29,0.0,41779200,6721775201,,,1
2025-09-02 04:06:32.682,run_29,20.0,41779200,6887107992,,,1
2025-09-02 04:06:32.788,run_29,0.0,41779200,6063870672,,,1
2025-09-02 04:06:32.891,run_29,0.0,41779200,6002432240,,,1
2025-09-02 04:06:32.979,run_29,0.0,41779200,7016863460,,,1
2025-09-02 04:06:33.086,run_29,20.0,41779200,7646812635,,,1
2025-09-02 04:06:33.182,run_29,20.0,41779200,7062216299,,,1
2025-09-02 04:06:33.282,run_29,0.0,41779200,7109792988,,,1
2025-09-02 04:06:33.393,run_29,19.9,41779200,6568378362,,,1
2025-09-02 04:06:33.490,run_29,20.0,41779200,6280350442,,,1
2025-09-02 04:06:33.583,run_29,0.0,41779200,7450616602,,,1
2025-09-02 04:06:33.683,run_29,0.0,41779200,7873958988,,,1
2025-09-02 04:06:33.789,run_29,20.0,41779200,7014520807,,,1
2025-09-02 04:06:33.884,run_29,0.0,41779200,7176746850,,,1
2025-09-02 04:06:33.998,run_29,20.0,41779200,6830508839,,,1
2025-09-02 04:06:34.083,run_29,20.0,41779200,7846807206,,,1
2025-09-02 04:06:34.192,run_29,0.0,41779200,6624505936,,,1
2025-09-02 04:06:34.287,run_29,0.0,41779200,8466262794,,,1
2025-09-02 04:06:34.382,run_29,20.0,41779200,6726649455,,,1
2025-09-02 04:06:34.491,run_29,20.0,41779200,6859171840,,,1
2025-09-02 04:06:34.592,run_29,0.0,41779200,6792788224,,,1
2025-09-02 04:06:34.686,run_29,20.0,41779200,7988047007,,,1
2025-09-02 04:06:34.787,run_29,20.0,41779200,10124285348,,,1
2025-09-02 04:06:34.885,run_29,0.0,41779200,8082241880,,,1
2025-09-02 04:06:34.996,run_29,0.0,41779200,9016679095,,,1
