__run_id,__done,round,configuration,position_goal,number_obstacles
run_0,DONE,0,0,3,0
run_1,DONE,0,0,3,2
run_2,DONE,0,1,3,0
run_3,DONE,0,1,3,2
run_4,DONE,0,2,3,0
run_5,DONE,0,2,3,2
run_6,DONE,0,3,3,0
run_7,DONE,0,3,3,2
run_8,DONE,0,4,3,0
run_9,DONE,0,4,3,2
run_10,DONE,0,5,3,0
run_11,DONE,0,5,3,2
run_12,DONE,0,6,3,0
run_13,DONE,0,6,3,2
run_14,DONE,0,7,3,0
run_15,DONE,0,7,3,2
run_16,DONE,0,8,3,0
run_17,DONE,0,8,3,2
run_18,DONE,0,9,3,0
run_19,DONE,0,9,3,2
run_20,DONE,0,10,3,0
run_21,DONE,0,10,3,2
run_22,DONE,0,11,3,0
run_23,DONE,0,11,3,2
run_24,DONE,0,12,3,0
run_25,DONE,0,12,3,2
run_26,DONE,0,13,3,0
run_27,DONE,0,13,3,2
run_28,DONE,0,14,3,0
run_29,DONE,0,14,3,2
run_30,DONE,0,15,3,0
run_31,DONE,0,15,3,2
run_32,DONE,0,16,3,0
run_33,DONE,0,16,3,2
run_34,DONE,0,17,3,0
run_35,DONE,0,17,3,2
run_36,DONE,0,18,3,0
run_37,DONE,0,18,3,2
run_38,DONE,0,19,3,0
run_39,DONE,0,19,3,2
run_40,DONE,1,0,3,0
run_41,DONE,1,0,3,2
run_42,DONE,1,1,3,0
run_43,DONE,1,1,3,2
run_44,DONE,1,2,3,0
run_45,DONE,1,2,3,2
run_46,DONE,1,3,3,0
run_47,DONE,1,3,3,2
run_48,DONE,1,4,3,0
run_49,DONE,1,4,3,2
run_50,DONE,1,5,3,0
run_51,DONE,1,5,3,2
run_52,DONE,1,6,3,0
run_53,DONE,1,6,3,2
run_54,DONE,1,7,3,0
run_55,DONE,1,7,3,2
run_56,DONE,1,8,3,0
run_57,DONE,1,8,3,2
run_58,DONE,1,9,3,0
run_59,DONE,1,9,3,2
run_60,DONE,1,10,3,0
run_61,DONE,1,10,3,2
run_62,DONE,1,11,3,0
run_63,DONE,1,11,3,2
run_64,DONE,1,12,3,0
run_65,DONE,1,12,3,2
run_66,DONE,1,13,3,0
run_67,DONE,1,13,3,2
run_68,DONE,1,14,3,0
run_69,DONE,1,14,3,2
run_70,DONE,1,15,3,0
run_71,DONE,1,15,3,2
run_72,DONE,1,16,3,0
run_73,DONE,1,16,3,2
run_74,DONE,1,17,3,0
run_75,DONE,1,17,3,2
run_76,DONE,1,18,3,0
run_77,DONE,1,18,3,2
run_78,DONE,1,19,3,0
run_79,DONE,1,19,3,2
run_80,DONE,2,0,3,0
run_81,DONE,2,0,3,2
run_82,DONE,2,1,3,0
run_83,DONE,2,1,3,2
run_84,DONE,2,2,3,0
run_85,DONE,2,2,3,2
run_86,DONE,2,3,3,0
run_87,DONE,2,3,3,2
run_88,DONE,2,4,3,0
run_89,DONE,2,4,3,2
run_90,DONE,2,5,3,0
run_91,DONE,2,5,3,2
run_92,DONE,2,6,3,0
run_93,DONE,2,6,3,2
run_94,DONE,2,7,3,0
run_95,DONE,2,7,3,2
run_96,DONE,2,8,3,0
run_97,DONE,2,8,3,2
run_98,DONE,2,9,3,0
run_99,DONE,2,9,3,2
run_100,DONE,2,10,3,0
run_101,DONE,2,10,3,2
run_102,DONE,2,11,3,0
run_103,DONE,2,11,3,2
run_104,DONE,2,12,3,0
run_105,DONE,2,12,3,2
run_106,DONE,2,13,3,0
run_107,DONE,2,13,3,2
run_108,DONE,2,14,3,0
run_109,DONE,2,14,3,2
run_110,DONE,2,15,3,0
run_111,DONE,2,15,3,2
run_112,DONE,2,16,3,0
run_113,DONE,2,16,3,2
run_114,DONE,2,17,3,0
run_115,DONE,2,17,3,2
run_116,DONE,2,18,3,0
run_117,DONE,2,18,3,2
run_118,DONE,2,19,3,0
run_119,DONE,2,19,3,2
run_120,DONE,3,0,3,0
run_121,DONE,3,0,3,2
run_122,DONE,3,1,3,0
run_123,DONE,3,1,3,2
run_124,DONE,3,2,3,0
run_125,DONE,3,2,3,2
run_126,DONE,3,3,3,0
run_127,DONE,3,3,3,2
run_128,DONE,3,4,3,0
run_129,DONE,3,4,3,2
run_130,DONE,3,5,3,0
run_131,DONE,3,5,3,2
run_132,DONE,3,6,3,0
run_133,DONE,3,6,3,2
run_134,DONE,3,7,3,0
run_135,DONE,3,7,3,2
run_136,DONE,3,8,3,0
run_137,DONE,3,8,3,2
run_138,DONE,3,9,3,0
run_139,DONE,3,9,3,2
run_140,DONE,3,10,3,0
run_141,DONE,3,10,3,2
run_142,DONE,3,11,3,0
