timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-09-06 16:48:14.214,run_30,0.0,40468480,2928657623,,,1
2025-09-06 16:48:14.311,run_30,0.0,40468480,3222613748,,,1
2025-09-06 16:48:14.411,run_30,20.0,40468480,3003611004,,,1
2025-09-06 16:48:14.515,run_30,0.0,40468480,3262184604,,,1
2025-09-06 16:48:14.611,run_30,0.0,40468480,2630168172,,,1
2025-09-06 16:48:14.711,run_30,20.0,40468480,3220795437,,,1
2025-09-06 16:48:14.813,run_30,0.0,40468480,3084086820,,,1
2025-09-06 16:48:14.913,run_30,0.0,40468480,3971591198,,,1
2025-09-06 16:48:15.012,run_30,20.0,40468480,3241075144,,,1
2025-09-06 16:48:15.111,run_30,0.0,40468480,3202468499,,,1
2025-09-06 16:48:15.211,run_30,0.0,40468480,3366180070,,,1
2025-09-06 16:48:15.319,run_30,20.0,40468480,4383906205,,,1
2025-09-06 16:48:15.413,run_30,0.0,40468480,3704530816,,,1
2025-09-06 16:48:15.513,run_30,0.0,40468480,3182173197,,,1
2025-09-06 16:48:15.615,run_30,20.0,40468480,3942500912,,,1
2025-09-06 16:48:15.719,run_30,39.9,40468480,3471156930,,,1
2025-09-06 16:48:15.821,run_30,0.0,40468480,3525680809,,,1
2025-09-06 16:48:15.913,run_30,0.0,40468480,2894918172,,,1
2025-09-06 16:48:16.014,run_30,0.0,40468480,3038753502,,,1
2025-09-06 16:48:16.123,run_30,0.0,40468480,3842573022,,,1
2025-09-06 16:48:16.214,run_30,0.0,40468480,3748066198,,,1
2025-09-06 16:48:16.316,run_30,0.0,40468480,4002889198,,,1
2025-09-06 16:48:16.417,run_30,0.0,40468480,3611951752,,,1
2025-09-06 16:48:16.516,run_30,0.0,40468480,3508580380,,,1
2025-09-06 16:48:16.615,run_30,0.0,40468480,3783173062,,,1
2025-09-06 16:48:16.714,run_30,0.0,40632320,3997405760,,,1
2025-09-06 16:48:16.814,run_30,39.9,42434560,3608662440,,,1
2025-09-06 16:48:16.915,run_30,0.0,42434560,3826067639,,,1
2025-09-06 16:48:17.014,run_30,0.0,42434560,3595576588,,,1
2025-09-06 16:48:17.123,run_30,0.0,42434560,3668548059,,,1
2025-09-06 16:48:17.216,run_30,0.0,42434560,4289414836,,,1
2025-09-06 16:48:17.320,run_30,20.0,42434560,4053810507,,,1
2025-09-06 16:48:17.417,run_30,0.0,42434560,4545829203,,,1
2025-09-06 16:48:17.515,run_30,20.0,42434560,4032842885,,,1
2025-09-06 16:48:17.616,run_30,0.0,42434560,4096839843,,,1
2025-09-06 16:48:17.717,run_30,0.0,42434560,3700113937,,,1
2025-09-06 16:48:17.817,run_30,0.0,42598400,3834266937,,,1
2025-09-06 16:48:17.916,run_30,0.0,42598400,4166151444,,,1
2025-09-06 16:48:18.021,run_30,39.9,42598400,4067571328,,,1
2025-09-06 16:48:18.116,run_30,0.0,42598400,4079670208,,,1
2025-09-06 16:48:18.215,run_30,20.0,42598400,3653228400,,,1
2025-09-06 16:48:18.331,run_30,20.0,42598400,4445158575,,,1
2025-09-06 16:48:18.415,run_30,0.0,42598400,3945985680,,,1
2025-09-06 16:48:18.516,run_30,20.0,42598400,3617330444,,,1
2025-09-06 16:48:18.617,run_30,0.0,42598400,3486685651,,,1
2025-09-06 16:48:18.730,run_30,0.0,42598400,3789913974,,,1
2025-09-06 16:48:18.818,run_30,0.0,42598400,4849121480,,,1
2025-09-06 16:48:18.921,run_30,0.0,42598400,4805152079,,,1
2025-09-06 16:48:19.017,run_30,0.0,42598400,4546023967,,,1
2025-09-06 16:48:19.127,run_30,20.0,42598400,3475607872,,,1
2025-09-06 16:48:19.220,run_30,0.0,42598400,4823316908,,,1
2025-09-06 16:48:19.319,run_30,20.0,42598400,4746591872,,,1
2025-09-06 16:48:19.416,run_30,0.0,42598400,3818695393,,,1
2025-09-06 16:48:19.517,run_30,0.0,42598400,4332999347,,,1
2025-09-06 16:48:19.619,run_30,0.0,42598400,4846711561,,,1
2025-09-06 16:48:19.719,run_30,20.0,42598400,5061920919,,,1
2025-09-06 16:48:19.818,run_30,0.0,42598400,4181912560,,,1
2025-09-06 16:48:19.916,run_30,0.0,42598400,4502840781,,,1
2025-09-06 16:48:20.018,run_30,0.0,42598400,4195398519,,,1
2025-09-06 16:48:20.119,run_30,20.0,42598400,4386848680,,,1
2025-09-06 16:48:20.217,run_30,0.0,42598400,4236465376,,,1
2025-09-06 16:48:20.318,run_30,0.0,42598400,5181454080,,,1
2025-09-06 16:48:20.421,run_30,20.0,42598400,4206150864,,,1
2025-09-06 16:48:20.518,run_30,0.0,42598400,4746245342,,,1
2025-09-06 16:48:20.631,run_30,20.0,42598400,4606802938,,,1
2025-09-06 16:48:20.719,run_30,0.0,42598400,5585883192,,,1
2025-09-06 16:48:20.818,run_30,20.0,42598400,4577612866,,,1
2025-09-06 16:48:20.921,run_30,0.0,42598400,4772219307,,,1
2025-09-06 16:48:21.019,run_30,0.0,42598400,4867831875,,,1
2025-09-06 16:48:21.123,run_30,0.0,42598400,4661443008,,,1
2025-09-06 16:48:21.220,run_30,0.0,42598400,4826162642,,,1
2025-09-06 16:48:21.320,run_30,0.0,42598400,4288701584,,,1
2025-09-06 16:48:21.418,run_30,20.0,42598400,3940217414,,,1
2025-09-06 16:48:21.518,run_30,0.0,42598400,5234550826,,,1
2025-09-06 16:48:21.618,run_30,0.0,42598400,4373327266,,,1
2025-09-06 16:48:21.724,run_30,0.0,42598400,5172201432,,,1
2025-09-06 16:48:21.820,run_30,20.0,42598400,6153232487,,,1
2025-09-06 16:48:21.922,run_30,0.0,42598400,5477970965,,,1
2025-09-06 16:48:22.023,run_30,0.0,42598400,4944889270,,,1
2025-09-06 16:48:22.122,run_30,0.0,42598400,5622219069,,,1
2025-09-06 16:48:22.217,run_30,0.0,42598400,4660787749,,,1
2025-09-06 16:48:22.318,run_30,20.0,42598400,5047334240,,,1
2025-09-06 16:48:22.420,run_30,0.0,42598400,5387594320,,,1
2025-09-06 16:48:22.518,run_30,0.0,42598400,4956031685,,,1
2025-09-06 16:48:22.618,run_30,20.0,42598400,5161641813,,,1
2025-09-06 16:48:22.722,run_30,0.0,42598400,4941943291,,,1
2025-09-06 16:48:22.821,run_30,0.0,42598400,5135064224,,,1
2025-09-06 16:48:22.928,run_30,0.0,42598400,4446167182,,,1
2025-09-06 16:48:23.022,run_30,20.0,42598400,5148384202,,,1
2025-09-06 16:48:23.127,run_30,0.0,42598400,4400824091,,,1
2025-09-06 16:48:23.228,run_30,0.0,42598400,5360671781,,,1
2025-09-06 16:48:23.321,run_30,20.0,42598400,6682243394,,,1
2025-09-06 16:48:23.417,run_30,20.0,42598400,5323357871,,,1
2025-09-06 16:48:23.520,run_30,0.0,42598400,5275112304,,,1
2025-09-06 16:48:23.623,run_30,0.0,42598400,5116257834,,,1
2025-09-06 16:48:23.730,run_30,20.0,42598400,4870220519,,,1
2025-09-06 16:48:23.819,run_30,20.0,42598400,5697579438,,,1
2025-09-06 16:48:23.923,run_30,20.0,42598400,5992367426,,,1
2025-09-06 16:48:24.026,run_30,0.0,42598400,5129780804,,,1
2025-09-06 16:48:24.119,run_30,0.0,42598400,5108580404,,,1
2025-09-06 16:48:24.224,run_30,0.0,42598400,5645158473,,,1
2025-09-06 16:48:24.321,run_30,19.9,42598400,6012613425,,,1
2025-09-06 16:48:24.421,run_30,0.0,42598400,5616915850,,,1
2025-09-06 16:48:24.519,run_30,0.0,42598400,5624090383,,,1
2025-09-06 16:48:24.628,run_30,19.9,42598400,6015910692,,,1
2025-09-06 16:48:24.720,run_30,0.0,42598400,5325562902,,,1
2025-09-06 16:48:24.826,run_30,0.0,42598400,6628012361,,,1
2025-09-06 16:48:24.921,run_30,0.0,42598400,6434258115,,,1
2025-09-06 16:48:25.024,run_30,0.0,42598400,6062934420,,,1
2025-09-06 16:48:25.121,run_30,20.0,42598400,6285207261,,,1
2025-09-06 16:48:25.224,run_30,0.0,42598400,5705867439,,,1
2025-09-06 16:48:25.323,run_30,0.0,42598400,5400977672,,,1
2025-09-06 16:48:25.421,run_30,0.0,42598400,5010711837,,,1
2025-09-06 16:48:25.521,run_30,0.0,42598400,5873702962,,,1
2025-09-06 16:48:25.623,run_30,20.0,42598400,4529328451,,,1
2025-09-06 16:48:25.734,run_30,0.0,42598400,5309641247,,,1
2025-09-06 16:48:25.826,run_30,0.0,42598400,6076762617,,,1
2025-09-06 16:48:25.922,run_30,0.0,42598400,5345804610,,,1
2025-09-06 16:48:26.024,run_30,20.0,42598400,5696293113,,,1
2025-09-06 16:48:26.125,run_30,0.0,42598400,5662695571,,,1
2025-09-06 16:48:26.222,run_30,0.0,42598400,6575171596,,,1
2025-09-06 16:48:26.321,run_30,20.0,42598400,6664349884,,,1
2025-09-06 16:48:26.421,run_30,0.0,42598400,6303053160,,,1
2025-09-06 16:48:26.519,run_30,0.0,42598400,5466311893,,,1
2025-09-06 16:48:26.632,run_30,20.0,42598400,5647792896,,,1
