__run_id,__done,round,configuration,position_goal,number_obstacles
run_0,DONE,0,0,3,0
run_1,DONE,0,0,3,2
run_2,DONE,0,0,3,0
run_3,DONE,0,0,3,2
run_4,DONE,0,0,3,0
run_5,DONE,0,0,3,2
run_6,DONE,0,0,3,0
run_7,DONE,0,0,3,2
run_8,DONE,0,0,3,0
run_9,DONE,0,0,3,2
run_10,DONE,0,0,3,0
run_11,DONE,0,0,3,2
run_12,DONE,0,0,3,0
run_13,DONE,0,0,3,2
run_14,DONE,1,0,3,0
run_15,DONE,1,0,3,2
run_16,DONE,1,0,3,0
run_17,DONE,1,0,3,2
run_18,DONE,1,0,3,0
run_19,DONE,1,0,3,2
run_20,DONE,1,0,3,0
run_21,DONE,1,0,3,2
run_22,DONE,1,0,3,0
run_23,DONE,1,0,3,2
run_24,DONE,1,0,3,0
run_25,DONE,1,0,3,2
run_26,DONE,1,0,3,0
run_27,DONE,1,0,3,2
run_28,DONE,2,0,3,0
run_29,DONE,2,0,3,2
run_30,DONE,2,0,3,0
run_31,DONE,2,0,3,2
run_32,DONE,2,0,3,0
run_33,DONE,2,0,3,2
run_34,DONE,2,0,3,0
run_35,DONE,2,0,3,2
run_36,DONE,2,0,3,0
run_37,DONE,2,0,3,2
run_38,DONE,2,0,3,0
run_39,DONE,2,0,3,2
