timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-08-26 20:18:35.254,run_17,19.9,40796160,8403768343,,,1
2025-08-26 20:18:35.362,run_17,0.0,40796160,6000091125,,,1
2025-08-26 20:18:35.466,run_17,0.0,40796160,5956292210,,,1
2025-08-26 20:18:35.567,run_17,0.0,40796160,6194793294,,,1
2025-08-26 20:18:35.660,run_17,0.0,40796160,5202275209,,,1
2025-08-26 20:18:35.760,run_17,0.0,40796160,7749457732,,,1
2025-08-26 20:18:35.866,run_17,19.9,40796160,7591045204,,,1
2025-08-26 20:18:35.969,run_17,0.0,40796160,6047129360,,,1
2025-08-26 20:18:36.078,run_17,0.0,40796160,4265845419,,,1
2025-08-26 20:18:36.189,run_17,0.0,40796160,4780234469,,,1
2025-08-26 20:18:36.280,run_17,0.0,40796160,5767588034,,,1
2025-08-26 20:18:36.388,run_17,0.0,40796160,8840393346,,,1
2025-08-26 20:18:36.473,run_17,0.0,40796160,11953248919,,,1
2025-08-26 20:18:36.576,run_17,0.0,40796160,12100281271,,,1
2025-08-26 20:18:36.673,run_17,0.0,40796160,11690080749,,,1
2025-08-26 20:18:36.771,run_17,39.9,40796160,10001282206,,,1
2025-08-26 20:18:36.889,run_17,20.0,40796160,10475075302,,,1
2025-08-26 20:18:36.991,run_17,0.0,40796160,9724589207,,,1
2025-08-26 20:18:37.087,run_17,0.0,40796160,8841040610,,,1
2025-08-26 20:18:37.190,run_17,20.0,40796160,7879886783,,,1
2025-08-26 20:18:37.282,run_17,20.0,40796160,10170483917,,,1
2025-08-26 20:18:37.399,run_17,0.0,40796160,9187311018,,,1
2025-08-26 20:18:37.493,run_17,20.0,40796160,9138850760,,,1
2025-08-26 20:18:37.603,run_17,0.0,40796160,7876598548,,,1
2025-08-26 20:18:37.700,run_17,0.0,40796160,10265406465,,,1
2025-08-26 20:18:37.787,run_17,39.9,40960000,14310706591,,,1
2025-08-26 20:18:37.888,run_17,20.0,41779200,8542240584,,,1
2025-08-26 20:18:37.986,run_17,20.0,41779200,10118981192,,,1
2025-08-26 20:18:38.097,run_17,20.0,41779200,10388688645,,,1
2025-08-26 20:18:38.199,run_17,20.0,41779200,9941979223,,,1
2025-08-26 20:18:38.312,run_17,20.0,41779200,8457822763,,,1
2025-08-26 20:18:38.394,run_17,39.9,41779200,11352970523,,,1
2025-08-26 20:18:38.495,run_17,0.0,41779200,11158005163,,,1
2025-08-26 20:18:38.621,run_17,0.0,41779200,9941840832,,,1
2025-08-26 20:18:38.709,run_17,20.0,41779200,12550826397,,,1
2025-08-26 20:18:38.813,run_17,0.0,41779200,10394232428,,,1
2025-08-26 20:18:38.908,run_17,20.0,41779200,9756778110,,,1
2025-08-26 20:18:39.004,run_17,20.0,41779200,10936927692,,,1
2025-08-26 20:18:39.105,run_17,0.0,41779200,10274474637,,,1
2025-08-26 20:18:39.204,run_17,0.0,41779200,10491940651,,,1
2025-08-26 20:18:39.310,run_17,20.0,41779200,10644374262,,,1
2025-08-26 20:18:39.420,run_17,0.0,41779200,10212900928,,,1
2025-08-26 20:18:39.515,run_17,0.0,41779200,12290671800,,,1
2025-08-26 20:18:39.616,run_17,0.0,41779200,10640548643,,,1
2025-08-26 20:18:39.712,run_17,0.0,41779200,11482836023,,,1
2025-08-26 20:18:39.810,run_17,0.0,41779200,10077898759,,,1
2025-08-26 20:18:39.911,run_17,0.0,41779200,11700515553,,,1
2025-08-26 20:18:40.011,run_17,0.0,41779200,9417276959,,,1
2025-08-26 20:18:40.112,run_17,20.0,41779200,9560223414,,,1
2025-08-26 20:18:40.216,run_17,0.0,41779200,10878400773,,,1
2025-08-26 20:18:40.324,run_17,20.0,41779200,9800446644,,,1
2025-08-26 20:18:40.413,run_17,0.0,41779200,11984900814,,,1
2025-08-26 20:18:40.516,run_17,19.9,41779200,10197553271,,,1
2025-08-26 20:18:40.616,run_17,0.0,41779200,8357769651,,,1
2025-08-26 20:18:40.716,run_17,19.9,41779200,11947358460,,,1
2025-08-26 20:18:40.824,run_17,20.0,41779200,10172408069,,,1
2025-08-26 20:18:40.921,run_17,20.0,41779200,8816054973,,,1
2025-08-26 20:18:41.015,run_17,20.0,41779200,10991527312,,,1
2025-08-26 20:18:41.115,run_17,20.0,41779200,8665642296,,,1
2025-08-26 20:18:41.215,run_17,20.0,41779200,10268726188,,,1
2025-08-26 20:18:41.313,run_17,20.0,41779200,9734992910,,,1
2025-08-26 20:18:41.408,run_17,20.0,41779200,11425075332,,,1
2025-08-26 20:18:41.511,run_17,0.0,41779200,11115888060,,,1
2025-08-26 20:18:41.613,run_17,0.0,41779200,10463184479,,,1
2025-08-26 20:18:41.713,run_17,20.0,41779200,11626668771,,,1
2025-08-26 20:18:41.818,run_17,39.9,41779200,11565400444,,,1
2025-08-26 20:18:41.921,run_17,20.0,41779200,10681518335,,,1
2025-08-26 20:18:42.010,run_17,20.0,41779200,10593648257,,,1
2025-08-26 20:18:42.109,run_17,20.0,41779200,10585602047,,,1
2025-08-26 20:18:42.212,run_17,0.0,41779200,10422057834,,,1
2025-08-26 20:18:42.316,run_17,0.0,41779200,11300794492,,,1
2025-08-26 20:18:42.423,run_17,0.0,41779200,12323091710,,,1
2025-08-26 20:18:42.517,run_17,20.0,41779200,11039668965,,,1
2025-08-26 20:18:42.613,run_17,20.0,41779200,10236562401,,,1
2025-08-26 20:18:42.712,run_17,20.0,41779200,11360388732,,,1
2025-08-26 20:18:42.814,run_17,20.0,41779200,10899772470,,,1
2025-08-26 20:18:42.933,run_17,20.0,41779200,11784266367,,,1
2025-08-26 20:18:43.027,run_17,20.0,41779200,8161031207,,,1
2025-08-26 20:18:43.132,run_17,0.0,41779200,8254118862,,,1
2025-08-26 20:18:43.225,run_17,0.0,41779200,12931242204,,,1
2025-08-26 20:18:43.320,run_17,0.0,41779200,13362647816,,,1
2025-08-26 20:18:43.426,run_17,20.0,41779200,10435159717,,,1
2025-08-26 20:18:43.521,run_17,0.0,41779200,11498631375,,,1
2025-08-26 20:18:43.614,run_17,0.0,41779200,11372820600,,,1
2025-08-26 20:18:43.726,run_17,20.0,41779200,9746663093,,,1
2025-08-26 20:18:43.833,run_17,20.0,41779200,9790948385,,,1
2025-08-26 20:18:43.921,run_17,20.0,41779200,11771531820,,,1
2025-08-26 20:18:44.026,run_17,20.0,41779200,11257723035,,,1
2025-08-26 20:18:44.130,run_17,20.0,41779200,8746204453,,,1
2025-08-26 20:18:44.222,run_17,0.0,41779200,8980479623,,,1
2025-08-26 20:18:44.326,run_17,0.0,41779200,11516464836,,,1
2025-08-26 20:18:44.414,run_17,20.0,41779200,10496107490,,,1
2025-08-26 20:18:44.515,run_17,0.0,41779200,13840182492,,,1
2025-08-26 20:18:44.623,run_17,20.0,41779200,10519710299,,,1
2025-08-26 20:18:44.726,run_17,20.0,41779200,11388652997,,,1
2025-08-26 20:18:44.846,run_17,19.9,41779200,9813302086,,,1
2025-08-26 20:18:44.933,run_17,0.0,41779200,12186725943,,,1
2025-08-26 20:18:45.029,run_17,0.0,41779200,9466942857,,,1
2025-08-26 20:18:45.140,run_17,20.0,41779200,9587622303,,,1
2025-08-26 20:18:45.255,run_17,20.0,41779200,11091085567,,,1
2025-08-26 20:18:45.337,run_17,20.0,41779200,10334451215,,,1
2025-08-26 20:18:45.437,run_17,0.0,41779200,11485393524,,,1
2025-08-26 20:18:45.541,run_17,20.0,41779200,12431456519,,,1
2025-08-26 20:18:45.643,run_17,0.0,41779200,9263364180,,,1
2025-08-26 20:18:45.744,run_17,0.0,41779200,9756168326,,,1
2025-08-26 20:18:45.846,run_17,20.0,41779200,13711092069,,,1
2025-08-26 20:18:45.946,run_17,20.0,41779200,12465722439,,,1
2025-08-26 20:18:46.045,run_17,20.0,41779200,10149256836,,,1
2025-08-26 20:18:46.146,run_17,20.0,41779200,12688958475,,,1
2025-08-26 20:18:46.242,run_17,0.0,41779200,10653732611,,,1
2025-08-26 20:18:46.352,run_17,0.0,41779200,14454151282,,,1
2025-08-26 20:18:46.439,run_17,0.0,41779200,10780680781,,,1
2025-08-26 20:18:46.542,run_17,0.0,41779200,13354691278,,,1
2025-08-26 20:18:46.642,run_17,20.0,41779200,14920494105,,,1
2025-08-26 20:18:46.744,run_17,19.9,41779200,11719759542,,,1
2025-08-26 20:18:46.845,run_17,19.9,41779200,10239630120,,,1
2025-08-26 20:18:46.940,run_17,20.0,41779200,10448853333,,,1
2025-08-26 20:18:47.044,run_17,20.0,41779200,13250439894,,,1
2025-08-26 20:18:47.142,run_17,20.0,41779200,11437448909,,,1
2025-08-26 20:18:47.248,run_17,20.0,41779200,9395935595,,,1
2025-08-26 20:18:47.345,run_17,19.9,41779200,11065646920,,,1
2025-08-26 20:18:47.449,run_17,0.0,41779200,11414280495,,,1
2025-08-26 20:18:47.558,run_17,20.0,41779200,15289707942,,,1
2025-08-26 20:18:47.638,run_17,20.0,41779200,11863428445,,,1
2025-08-26 20:18:47.748,run_17,0.0,41779200,10843178280,,,1
2025-08-26 20:18:47.851,run_17,20.0,41779200,13095369586,,,1
2025-08-26 20:18:47.945,run_17,0.0,41779200,10345278736,,,1
2025-08-26 20:18:48.056,run_17,19.9,41779200,12667843933,,,1
2025-08-26 20:18:48.149,run_17,20.0,41779200,12464624676,,,1
2025-08-26 20:18:48.245,run_17,20.0,41779200,9953862572,,,1
2025-08-26 20:18:48.369,run_17,19.9,41779200,16438949203,,,1
2025-08-26 20:18:48.458,run_17,20.0,41779200,13778076785,,,1
2025-08-26 20:18:48.570,run_17,0.0,41779200,13671661166,,,1
2025-08-26 20:18:48.655,run_17,0.0,41779200,13846711949,,,1
2025-08-26 20:18:48.761,run_17,0.0,41779200,13201958836,,,1
2025-08-26 20:18:48.860,run_17,0.0,41779200,14079690841,,,1
2025-08-26 20:18:48.962,run_17,0.0,41779200,12488303773,,,1
2025-08-26 20:18:49.057,run_17,0.0,41779200,15003036784,,,1
2025-08-26 20:18:49.151,run_17,19.9,41779200,14240847951,,,1
2025-08-26 20:18:49.254,run_17,0.0,41779200,12401725731,,,1
2025-08-26 20:18:49.365,run_17,0.0,41779200,14280923868,,,1
2025-08-26 20:18:49.456,run_17,0.0,41779200,13698853776,,,1
2025-08-26 20:18:49.566,run_17,20.0,41779200,12136768131,,,1
2025-08-26 20:18:49.659,run_17,20.0,41779200,15966872485,,,1
2025-08-26 20:18:49.757,run_17,0.0,41779200,13210354840,,,1
2025-08-26 20:18:49.859,run_17,19.9,41779200,13589617620,,,1
2025-08-26 20:18:49.959,run_17,0.0,41779200,13556598418,,,1
2025-08-26 20:18:50.059,run_17,20.0,41779200,16415821884,,,1
2025-08-26 20:18:50.163,run_17,0.0,41779200,12641315622,,,1
2025-08-26 20:18:50.273,run_17,0.0,41779200,11445515840,,,1
2025-08-26 20:18:50.365,run_17,0.0,41779200,14594236575,,,1
2025-08-26 20:18:50.468,run_17,0.0,41779200,12681432337,,,1
2025-08-26 20:18:50.560,run_17,39.9,41779200,14584946816,,,1
2025-08-26 20:18:50.661,run_17,0.0,41779200,12298959270,,,1
2025-08-26 20:18:50.758,run_17,0.0,41779200,12241309625,,,1
2025-08-26 20:18:50.869,run_17,20.0,41779200,15068658583,,,1
2025-08-26 20:18:50.963,run_17,0.0,41779200,13234375385,,,1
2025-08-26 20:18:51.073,run_17,20.0,41779200,14397808245,,,1
2025-08-26 20:18:51.169,run_17,20.0,41779200,14873117006,,,1
