timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-08-26 19:22:27.463,run_5,0.0,40140800,4301944896,,,1
2025-08-26 19:22:27.577,run_5,19.9,40140800,3439721197,,,1
2025-08-26 19:22:27.668,run_5,0.0,40140800,4224005928,,,1
2025-08-26 19:22:27.771,run_5,19.9,40140800,3296673905,,,1
2025-08-26 19:22:27.871,run_5,0.0,40140800,3584685394,,,1
2025-08-26 19:22:27.981,run_5,0.0,40140800,2929291627,,,1
2025-08-26 19:22:28.081,run_5,0.0,40140800,3540199918,,,1
2025-08-26 19:22:28.174,run_5,0.0,40140800,2848148544,,,1
2025-08-26 19:22:28.270,run_5,0.0,40140800,3232957445,,,1
2025-08-26 19:22:28.380,run_5,0.0,40140800,2765180352,,,1
2025-08-26 19:22:28.474,run_5,0.0,40140800,3499249632,,,1
2025-08-26 19:22:28.590,run_5,0.0,40140800,6084682146,,,1
2025-08-26 19:22:28.675,run_5,0.0,40140800,5734659662,,,1
2025-08-26 19:22:28.774,run_5,0.0,40140800,6449256154,,,1
2025-08-26 19:22:28.875,run_5,0.0,40140800,6115171418,,,1
2025-08-26 19:22:28.974,run_5,39.9,40304640,5231714598,,,1
2025-08-26 19:22:29.108,run_5,0.0,40304640,5111907124,,,1
2025-08-26 19:22:29.206,run_5,0.0,40304640,4827295732,,,1
2025-08-26 19:22:29.313,run_5,0.0,40304640,5665609100,,,1
2025-08-26 19:22:29.408,run_5,0.0,40304640,5738043500,,,1
2025-08-26 19:22:29.502,run_5,0.0,40304640,5662155700,,,1
2025-08-26 19:22:29.620,run_5,20.0,40304640,3295196210,,,1
2025-08-26 19:22:29.729,run_5,0.0,40304640,5330458795,,,1
2025-08-26 19:22:29.829,run_5,0.0,40304640,5767197565,,,1
2025-08-26 19:22:29.954,run_5,20.0,40304640,7500822992,,,1
2025-08-26 19:22:30.042,run_5,20.0,41287680,6444789208,,,1
2025-08-26 19:22:30.141,run_5,20.0,41287680,6359248350,,,1
2025-08-26 19:22:30.241,run_5,20.0,41287680,5550984624,,,1
2025-08-26 19:22:30.344,run_5,19.9,41287680,5576435810,,,1
2025-08-26 19:22:30.445,run_5,20.0,41287680,6848057994,,,1
2025-08-26 19:22:30.545,run_5,0.0,41287680,6259600045,,,1
2025-08-26 19:22:30.651,run_5,20.0,41287680,6052972507,,,1
2025-08-26 19:22:30.749,run_5,20.0,41287680,6524366507,,,1
2025-08-26 19:22:30.844,run_5,39.9,41287680,6369862470,,,1
2025-08-26 19:22:30.944,run_5,20.0,41287680,6903404860,,,1
2025-08-26 19:22:31.040,run_5,0.0,41287680,6089582839,,,1
2025-08-26 19:22:31.139,run_5,0.0,41287680,7085314255,,,1
2025-08-26 19:22:31.245,run_5,0.0,41287680,6176766051,,,1
2025-08-26 19:22:31.345,run_5,0.0,41287680,6754095329,,,1
2025-08-26 19:22:31.440,run_5,0.0,41287680,6383904016,,,1
2025-08-26 19:22:31.547,run_5,0.0,41287680,5693878574,,,1
2025-08-26 19:22:31.640,run_5,0.0,41287680,7195715662,,,1
2025-08-26 19:22:31.743,run_5,20.0,41287680,6549503390,,,1
2025-08-26 19:22:31.837,run_5,20.0,41287680,7174061464,,,1
2025-08-26 19:22:31.940,run_5,20.0,41287680,6817305564,,,1
2025-08-26 19:22:32.044,run_5,19.9,41287680,7084205798,,,1
2025-08-26 19:22:32.146,run_5,20.0,41287680,6258380039,,,1
