__run_id,__done,round,configuration,position_goal,number_obstacles
run_0,DONE,0,0,2,0
run_1,DONE,0,0,2,2
run_2,DONE,0,1,2,0
run_3,DONE,0,1,2,2
run_4,DONE,0,2,2,0
run_5,DONE,0,2,2,2
run_6,DONE,0,3,2,0
run_7,DONE,0,3,2,2
run_8,DONE,0,4,2,0
run_9,DONE,0,4,2,2
run_10,DONE,0,5,2,0
run_11,DONE,0,5,2,2
run_12,DONE,0,6,2,0
run_13,DONE,0,6,2,2
run_14,DONE,0,7,2,0
run_15,DONE,0,7,2,2
run_16,DONE,0,8,2,0
run_17,DONE,0,8,2,2
run_18,DONE,0,9,2,0
run_19,DONE,0,9,2,2
run_20,DONE,0,10,2,0
run_21,DONE,0,10,2,2
run_22,DONE,0,11,2,0
run_23,DONE,0,11,2,2
run_24,DONE,0,12,2,0
run_25,DONE,0,12,2,2
run_26,DONE,0,13,2,0
run_27,DONE,0,13,2,2
run_28,DONE,0,14,2,0
run_29,DONE,0,14,2,2
run_30,DONE,0,15,2,0
run_31,DONE,0,15,2,2
run_32,DONE,0,16,2,0
run_33,DONE,0,16,2,2
run_34,DONE,0,17,2,0
run_35,DONE,0,17,2,2
run_36,TODO,0,18,2,0
run_37,TODO,0,18,2,2
run_38,TODO,0,19,2,0
run_39,TODO,0,19,2,2
run_40,TODO,1,0,2,0
run_41,TODO,1,0,2,2
run_42,TODO,1,1,2,0
run_43,TODO,1,1,2,2
run_44,TODO,1,2,2,0
run_45,TODO,1,2,2,2
run_46,TODO,1,3,2,0
run_47,TODO,1,3,2,2
run_48,TODO,1,4,2,0
run_49,TODO,1,4,2,2
run_50,TODO,1,5,2,0
run_51,TODO,1,5,2,2
run_52,TODO,1,6,2,0
run_53,TODO,1,6,2,2
run_54,TODO,1,7,2,0
run_55,TODO,1,7,2,2
run_56,TODO,1,8,2,0
run_57,TODO,1,8,2,2
run_58,TODO,1,9,2,0
run_59,TODO,1,9,2,2
run_60,TODO,1,10,2,0
run_61,TODO,1,10,2,2
run_62,TODO,1,11,2,0
run_63,TODO,1,11,2,2
run_64,TODO,1,12,2,0
run_65,TODO,1,12,2,2
run_66,TODO,1,13,2,0
run_67,TODO,1,13,2,2
run_68,TODO,1,14,2,0
run_69,TODO,1,14,2,2
run_70,TODO,1,15,2,0
run_71,TODO,1,15,2,2
run_72,TODO,1,16,2,0
run_73,TODO,1,16,2,2
run_74,TODO,1,17,2,0
run_75,TODO,1,17,2,2
run_76,TODO,1,18,2,0
run_77,TODO,1,18,2,2
run_78,TODO,1,19,2,0
run_79,TODO,1,19,2,2
run_80,TODO,2,0,2,0
run_81,TODO,2,0,2,2
run_82,TODO,2,1,2,0
run_83,TODO,2,1,2,2
run_84,TODO,2,2,2,0
run_85,TODO,2,2,2,2
run_86,TODO,2,3,2,0
run_87,TODO,2,3,2,2
run_88,TODO,2,4,2,0
run_89,TODO,2,4,2,2
run_90,TODO,2,5,2,0
run_91,TODO,2,5,2,2
run_92,TODO,2,6,2,0
run_93,TODO,2,6,2,2
run_94,TODO,2,7,2,0
run_95,TODO,2,7,2,2
run_96,TODO,2,8,2,0
run_97,TODO,2,8,2,2
run_98,TODO,2,9,2,0
run_99,TODO,2,9,2,2
run_100,TODO,2,10,2,0
run_101,TODO,2,10,2,2
run_102,TODO,2,11,2,0
run_103,TODO,2,11,2,2
run_104,TODO,2,12,2,0
run_105,TODO,2,12,2,2
run_106,TODO,2,13,2,0
run_107,TODO,2,13,2,2
run_108,TODO,2,14,2,0
run_109,TODO,2,14,2,2
run_110,TODO,2,15,2,0
run_111,TODO,2,15,2,2
run_112,TODO,2,16,2,0
run_113,TODO,2,16,2,2
run_114,TODO,2,17,2,0
run_115,TODO,2,17,2,2
run_116,TODO,2,18,2,0
run_117,TODO,2,18,2,2
run_118,TODO,2,19,2,0
run_119,TODO,2,19,2,2
