timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-08-31 23:18:00.362,run_29,0.0,41123840,5267818272,,,1
2025-08-31 23:18:00.475,run_29,19.9,41123840,4063400058,,,1
2025-08-31 23:18:00.569,run_29,0.0,41123840,3689967069,,,1
2025-08-31 23:18:00.669,run_29,20.0,41123840,3808014952,,,1
2025-08-31 23:18:00.769,run_29,0.0,41123840,3502013683,,,1
2025-08-31 23:18:00.870,run_29,0.0,41123840,4413267945,,,1
2025-08-31 23:18:00.964,run_29,20.0,41123840,5079118616,,,1
2025-08-31 23:18:01.072,run_29,19.9,41123840,4706163143,,,1
2025-08-31 23:18:01.173,run_29,20.0,41123840,5195185484,,,1
2025-08-31 23:18:01.266,run_29,0.0,41123840,4421394599,,,1
2025-08-31 23:18:01.368,run_29,0.0,41123840,3629049900,,,1
2025-08-31 23:18:01.478,run_29,20.0,41123840,8025199003,,,1
2025-08-31 23:18:01.577,run_29,0.0,41123840,7740119646,,,1
2025-08-31 23:18:01.674,run_29,0.0,41123840,7927913866,,,1
2025-08-31 23:18:01.776,run_29,20.0,41123840,7727644966,,,1
2025-08-31 23:18:01.914,run_29,20.0,41287680,9267594986,,,1
2025-08-31 23:18:01.994,run_29,0.0,41615360,6867111459,,,1
2025-08-31 23:18:02.104,run_29,0.0,41615360,6420544899,,,1
2025-08-31 23:18:02.211,run_29,20.0,41615360,6235508370,,,1
2025-08-31 23:18:02.319,run_29,0.0,41615360,6924502279,,,1
2025-08-31 23:18:02.413,run_29,0.0,41615360,6382439837,,,1
2025-08-31 23:18:02.514,run_29,0.0,41615360,7272538403,,,1
2025-08-31 23:18:02.606,run_29,0.0,41615360,6216619601,,,1
2025-08-31 23:18:02.703,run_29,0.0,41615360,5125062695,,,1
2025-08-31 23:18:02.816,run_29,0.0,41615360,6432951245,,,1
2025-08-31 23:18:02.904,run_29,20.0,41615360,5814421648,,,1
2025-08-31 23:18:03.010,run_29,20.0,43417600,7111823256,,,1
2025-08-31 23:18:03.105,run_29,20.0,43417600,5641613861,,,1
