__run_id,configuration,__done,round,position_goal,number_obstacles
run_0,default,DONE,0,2,0
run_1,default,DONE,0,2,2
run_2,default,DONE,1,2,0
run_3,default,DONE,1,2,2
run_4,default,DONE,2,2,0
run_5,default,DONE,2,2,2
run_6,default,DONE,3,2,0
run_7,default,DONE,3,2,2
run_8,default,DONE,4,2,0
run_9,default,DONE,4,2,2
run_10,default,DONE,5,2,0
run_11,default,DONE,5,2,2
run_12,default,DONE,6,2,0
run_13,default,DONE,6,2,2
run_14,default,DONE,7,2,0
run_15,default,DONE,7,2,2
run_16,default,DONE,8,2,0
run_17,default,DONE,8,2,2
run_18,default,DONE,9,2,0
run_19,default,DONE,9,2,2
run_20,default,DONE,10,2,0
run_21,default,DONE,10,2,2
run_22,default,DONE,11,2,0
run_23,default,DONE,11,2,2
run_24,default,DONE,12,2,0
run_25,default,DONE,12,2,2
run_26,default,DONE,13,2,0
run_27,default,DONE,13,2,2
run_28,default,DONE,14,2,0
run_29,default,DONE,14,2,2
run_30,default,DONE,15,2,0
run_31,default,DONE,15,2,2
run_32,default,DONE,16,2,0
run_33,default,DONE,16,2,2
run_34,default,DONE,17,2,0
run_35,default,DONE,17,2,2
run_36,default,DONE,18,2,0
run_37,default,DONE,18,2,2
run_38,default,DONE,19,2,0
run_39,default,DONE,19,2,2
