timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-08-26 22:09:54.802,run_2,19.9,40140800,3471532402,,,1
2025-08-26 22:09:54.906,run_2,0.0,40140800,3500882797,,,1
2025-08-26 22:09:55.009,run_2,19.9,40140800,2663115756,,,1
2025-08-26 22:09:55.130,run_2,0.0,40140800,2259646697,,,1
2025-08-26 22:09:55.211,run_2,0.0,40140800,2821349280,,,1
2025-08-26 22:09:55.311,run_2,20.0,40140800,2679481266,,,1
2025-08-26 22:09:55.422,run_2,0.0,40140800,2370560157,,,1
2025-08-26 22:09:55.519,run_2,0.0,40140800,3045780696,,,1
2025-08-26 22:09:55.608,run_2,19.9,40140800,3193988037,,,1
2025-08-26 22:09:55.709,run_2,0.0,40140800,4255220410,,,1
2025-08-26 22:09:55.829,run_2,0.0,40140800,2468540760,,,1
2025-08-26 22:09:55.925,run_2,0.0,40140800,4524515745,,,1
2025-08-26 22:09:56.013,run_2,0.0,40140800,4160162734,,,1
2025-08-26 22:09:56.115,run_2,0.0,40140800,4830551700,,,1
2025-08-26 22:09:56.212,run_2,0.0,40140800,4827727917,,,1
2025-08-26 22:09:56.316,run_2,20.0,40304640,5089141848,,,1
2025-08-26 22:09:56.429,run_2,20.0,40304640,5387832506,,,1
2025-08-26 22:09:56.530,run_2,0.0,40304640,5008312631,,,1
2025-08-26 22:09:56.642,run_2,20.0,40304640,4871331500,,,1
2025-08-26 22:09:56.740,run_2,0.0,40304640,5011298687,,,1
2025-08-26 22:09:56.825,run_2,0.0,40304640,5851233237,,,1
2025-08-26 22:09:56.931,run_2,0.0,40304640,4488060762,,,1
2025-08-26 22:09:57.037,run_2,20.0,40304640,4298682871,,,1
2025-08-26 22:09:57.135,run_2,0.0,40304640,6030902415,,,1
2025-08-26 22:09:57.236,run_2,0.0,40304640,4623233647,,,1
2025-08-26 22:09:57.327,run_2,79.9,40304640,5639851799,,,1
2025-08-26 22:09:57.449,run_2,20.0,41123840,5314846351,,,1
2025-08-26 22:09:57.544,run_2,0.0,41123840,5277007645,,,1
2025-08-26 22:09:57.642,run_2,0.0,41123840,4592177226,,,1
2025-08-26 22:09:57.737,run_2,0.0,41123840,5344051460,,,1
2025-08-26 22:09:57.834,run_2,20.0,41123840,4942106968,,,1
2025-08-26 22:09:57.939,run_2,20.0,41123840,5451561500,,,1
2025-08-26 22:09:58.041,run_2,20.0,41123840,5565458985,,,1
2025-08-26 22:09:58.153,run_2,0.0,41123840,5651034625,,,1
2025-08-26 22:09:58.241,run_2,0.0,41123840,4630962435,,,1
2025-08-26 22:09:58.339,run_2,20.0,41123840,5095490524,,,1
2025-08-26 22:09:58.444,run_2,20.0,41123840,5179641484,,,1
2025-08-26 22:09:58.549,run_2,20.0,41123840,5178445630,,,1
2025-08-26 22:09:58.647,run_2,20.0,41123840,4626845884,,,1
2025-08-26 22:09:58.748,run_2,0.0,41123840,6145789536,,,1
2025-08-26 22:09:58.846,run_2,20.0,41123840,5515351350,,,1
2025-08-26 22:09:58.983,run_2,0.0,41123840,4288276298,,,1
2025-08-26 22:09:59.079,run_2,20.0,41123840,6049626570,,,1
2025-08-26 22:09:59.172,run_2,20.0,41123840,5964681114,,,1
2025-08-26 22:09:59.275,run_2,20.0,41123840,7238106626,,,1
2025-08-26 22:09:59.370,run_2,20.0,41123840,5303696508,,,1
2025-08-26 22:09:59.483,run_2,0.0,41123840,5913867174,,,1
2025-08-26 22:09:59.574,run_2,0.0,41123840,5221871099,,,1
2025-08-26 22:09:59.675,run_2,0.0,41123840,5063901741,,,1
2025-08-26 22:09:59.777,run_2,0.0,41123840,5889976499,,,1
2025-08-26 22:09:59.891,run_2,0.0,41123840,5746007872,,,1
2025-08-26 22:09:59.976,run_2,0.0,41123840,6165082392,,,1
2025-08-26 22:10:00.082,run_2,0.0,41123840,3355053156,,,1
2025-08-26 22:10:00.192,run_2,0.0,41123840,5910582282,,,1
2025-08-26 22:10:00.285,run_2,0.0,41123840,7005342399,,,1
2025-08-26 22:10:00.388,run_2,0.0,41123840,5171438772,,,1
2025-08-26 22:10:00.481,run_2,20.0,41123840,5857108608,,,1
2025-08-26 22:10:00.577,run_2,20.0,41123840,6339159249,,,1
2025-08-26 22:10:00.681,run_2,20.0,41123840,4914252629,,,1
2025-08-26 22:10:00.776,run_2,20.0,41123840,6503109464,,,1
2025-08-26 22:10:00.884,run_2,0.0,41123840,7072707111,,,1
2025-08-26 22:10:00.974,run_2,20.0,41123840,7148365413,,,1
2025-08-26 22:10:01.080,run_2,20.0,41123840,6173379231,,,1
2025-08-26 22:10:01.187,run_2,20.0,41123840,6330424955,,,1
2025-08-26 22:10:01.280,run_2,0.0,41123840,6834456864,,,1
2025-08-26 22:10:01.381,run_2,0.0,41123840,6366319634,,,1
2025-08-26 22:10:01.486,run_2,0.0,41123840,7560836011,,,1
2025-08-26 22:10:01.576,run_2,0.0,41123840,7338264225,,,1
2025-08-26 22:10:01.685,run_2,0.0,41123840,8304868330,,,1
2025-08-26 22:10:01.786,run_2,20.0,41123840,7852957534,,,1
2025-08-26 22:10:01.886,run_2,20.0,41123840,6044704911,,,1
2025-08-26 22:10:01.981,run_2,20.0,41123840,6613004901,,,1
2025-08-26 22:10:02.086,run_2,20.0,41287680,7505222032,,,1
2025-08-26 22:10:02.174,run_2,20.0,41287680,7619396512,,,1
2025-08-26 22:10:02.285,run_2,20.0,41287680,8296562943,,,1
2025-08-26 22:10:02.381,run_2,0.0,41287680,6356724924,,,1
2025-08-26 22:10:02.487,run_2,0.0,41287680,6679248454,,,1
2025-08-26 22:10:02.582,run_2,0.0,41287680,6902061828,,,1
2025-08-26 22:10:02.688,run_2,0.0,41287680,7699029349,,,1
2025-08-26 22:10:02.796,run_2,20.0,41287680,7589589105,,,1
2025-08-26 22:10:02.892,run_2,0.0,41287680,6382477793,,,1
2025-08-26 22:10:02.979,run_2,0.0,41287680,7211695291,,,1
2025-08-26 22:10:03.082,run_2,0.0,41287680,6484998246,,,1
2025-08-26 22:10:03.189,run_2,0.0,41287680,7456176351,,,1
2025-08-26 22:10:03.293,run_2,20.0,41287680,7599347162,,,1
2025-08-26 22:10:03.390,run_2,39.9,41287680,6754009528,,,1
2025-08-26 22:10:03.488,run_2,20.0,41287680,8007285090,,,1
2025-08-26 22:10:03.585,run_2,20.0,41287680,7889606414,,,1
2025-08-26 22:10:03.691,run_2,20.0,41287680,6945656640,,,1
2025-08-26 22:10:03.790,run_2,20.0,41287680,6217978942,,,1
2025-08-26 22:10:03.898,run_2,20.0,41287680,8000692787,,,1
2025-08-26 22:10:03.989,run_2,20.0,41287680,6776495194,,,1
2025-08-26 22:10:04.096,run_2,20.0,41287680,7024815388,,,1
2025-08-26 22:10:04.195,run_2,19.9,41287680,7788702634,,,1
2025-08-26 22:10:04.298,run_2,19.9,41287680,6070721456,,,1
2025-08-26 22:10:04.392,run_2,19.9,41287680,6750144316,,,1
2025-08-26 22:10:04.501,run_2,20.0,41287680,7021549104,,,1
2025-08-26 22:10:04.589,run_2,0.0,41287680,7777014888,,,1
2025-08-26 22:10:04.690,run_2,19.9,41287680,6847061000,,,1
2025-08-26 22:10:04.792,run_2,19.9,41287680,6835650668,,,1
2025-08-26 22:10:04.893,run_2,20.0,41287680,7725041856,,,1
2025-08-26 22:10:04.988,run_2,0.0,41287680,8919201312,,,1
2025-08-26 22:10:05.091,run_2,20.0,41287680,6302654028,,,1
2025-08-26 22:10:05.189,run_2,20.0,41287680,7626683882,,,1
2025-08-26 22:10:05.285,run_2,20.0,41287680,9514042095,,,1
2025-08-26 22:10:05.396,run_2,20.0,41287680,8016633984,,,1
2025-08-26 22:10:05.497,run_2,20.0,41287680,6506736151,,,1
2025-08-26 22:10:05.595,run_2,0.0,41287680,8197490707,,,1
2025-08-26 22:10:05.696,run_2,0.0,41287680,8054411957,,,1
2025-08-26 22:10:05.795,run_2,0.0,41287680,8338814246,,,1
2025-08-26 22:10:05.890,run_2,19.9,41287680,7187937640,,,1
2025-08-26 22:10:05.989,run_2,19.9,41287680,7299846360,,,1
2025-08-26 22:10:06.092,run_2,19.9,41287680,7550016927,,,1
2025-08-26 22:10:06.191,run_2,19.9,41287680,6026088623,,,1
2025-08-26 22:10:06.301,run_2,20.0,41287680,8747038777,,,1
2025-08-26 22:10:06.393,run_2,0.0,41287680,7523742862,,,1
2025-08-26 22:10:06.489,run_2,20.0,41287680,8432577055,,,1
2025-08-26 22:10:06.598,run_2,20.0,41287680,8553158500,,,1
2025-08-26 22:10:06.703,run_2,20.0,41287680,7438756204,,,1
2025-08-26 22:10:06.791,run_2,20.0,41287680,6232450508,,,1
2025-08-26 22:10:06.891,run_2,20.0,41287680,7164885780,,,1
2025-08-26 22:10:07.002,run_2,0.0,41287680,7946135036,,,1
2025-08-26 22:10:07.092,run_2,20.0,41287680,7756559671,,,1
2025-08-26 22:10:07.203,run_2,20.0,41287680,6841657640,,,1
2025-08-26 22:10:07.291,run_2,0.0,41287680,8266949762,,,1
2025-08-26 22:10:07.393,run_2,0.0,41287680,9110934701,,,1
2025-08-26 22:10:07.491,run_2,0.0,41287680,8013648500,,,1
2025-08-26 22:10:07.600,run_2,20.0,41287680,7939980419,,,1
