timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-08-28 16:24:41.760,run_1,19.9,40632320,3684981343,,,1
2025-08-28 16:24:41.874,run_1,0.0,40632320,3151465328,,,1
2025-08-28 16:24:41.965,run_1,19.9,40632320,3820255162,,,1
2025-08-28 16:24:42.069,run_1,19.9,40632320,3187030013,,,1
2025-08-28 16:24:42.173,run_1,20.0,40632320,2613115658,,,1
2025-08-28 16:24:42.271,run_1,0.0,40632320,3761604807,,,1
2025-08-28 16:24:42.378,run_1,19.9,40632320,2960697959,,,1
2025-08-28 16:24:42.469,run_1,0.0,40632320,3764257830,,,1
2025-08-28 16:24:42.579,run_1,0.0,40632320,3366789569,,,1
2025-08-28 16:24:42.672,run_1,19.9,40632320,4980684333,,,1
2025-08-28 16:24:42.770,run_1,0.0,40632320,4080886725,,,1
2025-08-28 16:24:42.886,run_1,0.0,40632320,6174959790,,,1
2025-08-28 16:24:42.976,run_1,0.0,40632320,7297943009,,,1
2025-08-28 16:24:43.076,run_1,0.0,40632320,6251812164,,,1
2025-08-28 16:24:43.174,run_1,0.0,40632320,5973884940,,,1
2025-08-28 16:24:43.277,run_1,59.8,40632320,6225317142,,,1
2025-08-28 16:24:43.385,run_1,20.0,40632320,4946023286,,,1
2025-08-28 16:24:43.492,run_1,0.0,40632320,5920339950,,,1
2025-08-28 16:24:43.588,run_1,0.0,40632320,5787643995,,,1
2025-08-28 16:24:43.685,run_1,20.0,40632320,6086458480,,,1
2025-08-28 16:24:43.795,run_1,0.0,40632320,5701452835,,,1
2025-08-28 16:24:43.887,run_1,0.0,40632320,6244992104,,,1
2025-08-28 16:24:43.994,run_1,20.0,40632320,4860553920,,,1
2025-08-28 16:24:44.083,run_1,0.0,40632320,5682327360,,,1
2025-08-28 16:24:44.187,run_1,0.0,40632320,5780283360,,,1
2025-08-28 16:24:44.283,run_1,0.0,40960000,5399537357,,,1
2025-08-28 16:24:44.390,run_1,20.0,41779200,5658298963,,,1
2025-08-28 16:24:44.500,run_1,20.0,41779200,5827439572,,,1
2025-08-28 16:24:44.591,run_1,0.0,41779200,6281207981,,,1
2025-08-28 16:24:44.692,run_1,20.0,41779200,5574608682,,,1
2025-08-28 16:24:44.790,run_1,0.0,41779200,5653935243,,,1
2025-08-28 16:24:44.886,run_1,0.0,41943040,5758009092,,,1
2025-08-28 16:24:44.994,run_1,20.0,41943040,6102333407,,,1
2025-08-28 16:24:45.093,run_1,0.0,41943040,5892049000,,,1
2025-08-28 16:24:45.202,run_1,0.0,41943040,6018754854,,,1
2025-08-28 16:24:45.296,run_1,20.0,41943040,6490655717,,,1
2025-08-28 16:24:45.394,run_1,20.0,41943040,6420851836,,,1
2025-08-28 16:24:45.495,run_1,0.0,41943040,5296592973,,,1
2025-08-28 16:24:45.585,run_1,20.0,41943040,6379854689,,,1
2025-08-28 16:24:45.692,run_1,20.0,41943040,6302955112,,,1
2025-08-28 16:24:45.790,run_1,20.0,41943040,7341604748,,,1
2025-08-28 16:24:45.888,run_1,0.0,41943040,6922429726,,,1
2025-08-28 16:24:45.995,run_1,0.0,41943040,5419435329,,,1
2025-08-28 16:24:46.088,run_1,39.9,41943040,6412562139,,,1
2025-08-28 16:24:46.186,run_1,0.0,41943040,6122279636,,,1
2025-08-28 16:24:46.296,run_1,20.0,41943040,6384551879,,,1
2025-08-28 16:24:46.385,run_1,20.0,41943040,6270305357,,,1
2025-08-28 16:24:46.496,run_1,0.0,41943040,6196721310,,,1
2025-08-28 16:24:46.590,run_1,0.0,41943040,6361149469,,,1
2025-08-28 16:24:46.693,run_1,0.0,41943040,5458325113,,,1
2025-08-28 16:24:46.792,run_1,20.0,41943040,7870090000,,,1
2025-08-28 16:24:46.900,run_1,20.0,41943040,6181677312,,,1
