timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-08-29 15:45:03.024,run_413,0.0,40796160,4761188599,,,1
2025-08-29 15:45:03.151,run_413,19.9,40796160,4011060671,,,1
2025-08-29 15:45:03.236,run_413,0.0,40796160,3891321312,,,1
2025-08-29 15:45:03.335,run_413,19.9,40796160,4312031862,,,1
2025-08-29 15:45:03.432,run_413,0.0,40796160,5361462607,,,1
2025-08-29 15:45:03.537,run_413,0.0,40796160,5985095067,,,1
2025-08-29 15:45:03.631,run_413,20.0,40796160,4867113127,,,1
2025-08-29 15:45:03.747,run_413,0.0,40796160,4337056912,,,1
2025-08-29 15:45:03.846,run_413,19.9,40796160,3949773281,,,1
2025-08-29 15:45:03.935,run_413,0.0,40796160,4780771044,,,1
2025-08-29 15:45:04.045,run_413,0.0,40796160,5504175272,,,1
2025-08-29 15:45:04.176,run_413,0.0,40796160,6627855069,,,1
2025-08-29 15:45:04.259,run_413,0.0,40796160,6208199711,,,1
2025-08-29 15:45:04.358,run_413,0.0,40796160,7429882283,,,1
2025-08-29 15:45:04.457,run_413,0.0,40796160,6117524570,,,1
2025-08-29 15:45:04.557,run_413,39.9,40960000,6800795604,,,1
2025-08-29 15:45:04.662,run_413,0.0,40960000,6211419300,,,1
2025-08-29 15:45:04.788,run_413,20.0,42106880,6042647407,,,1
2025-08-29 15:45:04.873,run_413,20.0,42106880,6430381472,,,1
2025-08-29 15:45:04.979,run_413,20.0,42106880,7157604003,,,1
2025-08-29 15:45:05.087,run_413,0.0,42106880,5550133266,,,1
2025-08-29 15:45:05.175,run_413,19.9,42106880,6655524720,,,1
2025-08-29 15:45:05.277,run_413,0.0,42106880,6078374797,,,1
2025-08-29 15:45:05.374,run_413,0.0,42270720,6705394338,,,1
2025-08-29 15:45:05.483,run_413,0.0,42270720,7278337080,,,1
2025-08-29 15:45:05.593,run_413,39.9,42434560,9116534935,,,1
2025-08-29 15:45:05.681,run_413,0.0,42434560,6159065762,,,1
2025-08-29 15:45:05.794,run_413,20.0,42434560,5839468335,,,1
2025-08-29 15:45:05.886,run_413,0.0,42434560,6790806492,,,1
2025-08-29 15:45:05.985,run_413,20.0,42434560,7345197146,,,1
2025-08-29 15:45:06.087,run_413,20.0,42434560,5219771920,,,1
2025-08-29 15:45:06.192,run_413,20.0,42434560,5874555589,,,1
2025-08-29 15:45:06.274,run_413,20.0,42434560,7416032988,,,1
2025-08-29 15:45:06.388,run_413,20.0,42434560,9544684213,,,1
2025-08-29 15:45:06.485,run_413,20.0,42434560,6985641376,,,1
2025-08-29 15:45:06.584,run_413,20.0,42434560,6372652725,,,1
2025-08-29 15:45:06.698,run_413,20.0,42434560,5598644438,,,1
2025-08-29 15:45:06.791,run_413,20.0,42434560,6495690465,,,1
2025-08-29 15:45:06.879,run_413,20.0,42434560,6866150460,,,1
2025-08-29 15:45:06.996,run_413,20.0,42434560,6876927550,,,1
