timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-09-02 23:04:17.694,run_5,0.0,40960000,4218935797,,,1
2025-09-02 23:04:17.797,run_5,20.0,40960000,3166230223,,,1
2025-09-02 23:04:17.896,run_5,0.0,40960000,2720024035,,,1
2025-09-02 23:04:18.006,run_5,0.0,40960000,2868185430,,,1
2025-09-02 23:04:18.095,run_5,0.0,40960000,3758540220,,,1
2025-09-02 23:04:18.202,run_5,19.9,40960000,4648275389,,,1
2025-09-02 23:04:18.298,run_5,0.0,40960000,4523804404,,,1
2025-09-02 23:04:18.398,run_5,0.0,40960000,3126941882,,,1
2025-09-02 23:04:18.489,run_5,20.0,40960000,4482371074,,,1
2025-09-02 23:04:18.592,run_5,0.0,40960000,4821578762,,,1
2025-09-02 23:04:18.690,run_5,39.9,40960000,5214744460,,,1
2025-09-02 23:04:18.820,run_5,0.0,40960000,4929268368,,,1
2025-09-02 23:04:18.907,run_5,0.0,40960000,5784183888,,,1
2025-09-02 23:04:19.002,run_5,0.0,40960000,5478141837,,,1
2025-09-02 23:04:19.101,run_5,0.0,40960000,6430157387,,,1
2025-09-02 23:04:19.206,run_5,59.9,41123840,6287992010,,,1
2025-09-02 23:04:19.312,run_5,0.0,41123840,5638703530,,,1
2025-09-02 23:04:19.413,run_5,0.0,41123840,6204712200,,,1
2025-09-02 23:04:19.528,run_5,0.0,41123840,5632795860,,,1
2025-09-02 23:04:19.619,run_5,0.0,41123840,5466976875,,,1
2025-09-02 23:04:19.727,run_5,0.0,41123840,4726112499,,,1
2025-09-02 23:04:19.823,run_5,0.0,41123840,5257222475,,,1
2025-09-02 23:04:19.915,run_5,20.0,41123840,6037502016,,,1
2025-09-02 23:04:20.015,run_5,0.0,41123840,4862976384,,,1
2025-09-02 23:04:20.117,run_5,0.0,41123840,6311016096,,,1
2025-09-02 23:04:20.223,run_5,0.0,41123840,7239203418,,,1
2025-09-02 23:04:20.328,run_5,20.0,41943040,4789751166,,,1
2025-09-02 23:04:20.418,run_5,0.0,41943040,7331860867,,,1
2025-09-02 23:04:20.517,run_5,0.0,42106880,5388990795,,,1
2025-09-02 23:04:20.616,run_5,19.9,42106880,5995757988,,,1
2025-09-02 23:04:20.721,run_5,0.0,42106880,7287126872,,,1
2025-09-02 23:04:20.814,run_5,0.0,42106880,5239519556,,,1
2025-09-02 23:04:20.920,run_5,20.0,42106880,6027558700,,,1
2025-09-02 23:04:21.019,run_5,20.0,42106880,6302359321,,,1
2025-09-02 23:04:21.117,run_5,20.0,42106880,6720796034,,,1
2025-09-02 23:04:21.219,run_5,20.0,42106880,6130172177,,,1
2025-09-02 23:04:21.315,run_5,20.0,42106880,7118557560,,,1
2025-09-02 23:04:21.411,run_5,0.0,42106880,6174221772,,,1
2025-09-02 23:04:21.522,run_5,20.0,42106880,6023066357,,,1
2025-09-02 23:04:21.619,run_5,20.0,42106880,7379574359,,,1
