timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-09-05 04:39:55.272,run_799,0.0,39813120,5413337125,,,1
2025-09-05 04:39:55.376,run_799,19.9,39813120,3762949960,,,1
2025-09-05 04:39:55.477,run_799,0.0,39813120,3509486992,,,1
2025-09-05 04:39:55.569,run_799,20.0,39813120,3593526393,,,1
2025-09-05 04:39:55.683,run_799,0.0,39813120,4899153087,,,1
2025-09-05 04:39:55.763,run_799,0.0,39813120,2880336044,,,1
2025-09-05 04:39:55.869,run_799,0.0,39813120,4201994779,,,1
2025-09-05 04:39:55.970,run_799,0.0,39813120,3839787074,,,1
2025-09-05 04:39:56.071,run_799,0.0,39813120,4182559913,,,1
2025-09-05 04:39:56.169,run_799,0.0,39813120,4698700020,,,1
2025-09-05 04:39:56.274,run_799,0.0,39813120,4718234160,,,1
2025-09-05 04:39:56.389,run_799,0.0,39813120,6516453869,,,1
2025-09-05 04:39:56.481,run_799,20.0,39813120,6415677039,,,1
2025-09-05 04:39:56.579,run_799,0.0,39813120,6010568269,,,1
2025-09-05 04:39:56.679,run_799,0.0,39813120,5966531693,,,1
2025-09-05 04:39:56.819,run_799,79.6,39813120,7253480650,,,1
2025-09-05 04:39:56.900,run_799,199.7,40140800,6460231791,,,1
2025-09-05 04:39:57.020,run_799,20.0,40960000,7325704035,,,1
2025-09-05 04:39:57.118,run_799,20.0,40960000,5632516193,,,1
2025-09-05 04:39:57.214,run_799,20.0,40960000,6862222992,,,1
2025-09-05 04:39:57.320,run_799,20.0,40960000,6152690168,,,1
2025-09-05 04:39:57.415,run_799,20.0,40960000,7090890363,,,1
2025-09-05 04:39:57.509,run_799,20.0,40960000,6505344768,,,1
2025-09-05 04:39:57.627,run_799,20.0,40960000,6524852984,,,1
2025-09-05 04:39:57.734,run_799,0.0,40960000,7030323329,,,1
2025-09-05 04:39:57.822,run_799,0.0,40960000,5922250189,,,1
2025-09-05 04:39:57.925,run_799,20.0,40960000,4700160430,,,1
2025-09-05 04:39:58.019,run_799,20.0,40960000,7438779087,,,1
2025-09-05 04:39:58.123,run_799,0.0,40960000,6979687164,,,1
2025-09-05 04:39:58.228,run_799,0.0,40960000,6424702725,,,1
2025-09-05 04:39:58.334,run_799,0.0,40960000,8688608763,,,1
2025-09-05 04:39:58.429,run_799,0.0,40960000,5528683908,,,1
2025-09-05 04:39:58.523,run_799,0.0,40960000,7010949711,,,1
2025-09-05 04:39:58.622,run_799,20.0,40960000,5334597069,,,1
2025-09-05 04:39:58.725,run_799,20.0,40960000,5752131423,,,1
2025-09-05 04:39:58.820,run_799,0.0,40960000,7273369794,,,1
2025-09-05 04:39:58.930,run_799,0.0,40960000,7210611005,,,1
2025-09-05 04:39:59.022,run_799,0.0,40960000,5657311529,,,1
2025-09-05 04:39:59.126,run_799,20.0,40960000,7806731408,,,1
2025-09-05 04:39:59.229,run_799,20.0,40960000,7816758300,,,1
2025-09-05 04:39:59.323,run_799,0.0,40960000,5872921088,,,1
2025-09-05 04:39:59.419,run_799,0.0,40960000,7398077323,,,1
2025-09-05 04:39:59.522,run_799,0.0,40960000,6719118618,,,1
2025-09-05 04:39:59.624,run_799,0.0,40960000,7076624784,,,1
2025-09-05 04:39:59.725,run_799,20.0,40960000,6991842885,,,1
2025-09-05 04:39:59.821,run_799,20.0,40960000,6376015724,,,1
2025-09-05 04:39:59.928,run_799,20.0,40960000,5279201466,,,1
2025-09-05 04:40:00.022,run_799,0.0,40960000,6752888026,,,1
2025-09-05 04:40:00.123,run_799,20.0,40960000,7495880676,,,1
2025-09-05 04:40:00.222,run_799,20.0,40960000,6843717823,,,1
2025-09-05 04:40:00.327,run_799,19.9,40960000,8450373554,,,1
2025-09-05 04:40:00.420,run_799,0.0,40960000,7603083427,,,1
2025-09-05 04:40:00.522,run_799,0.0,40960000,7570069805,,,1
2025-09-05 04:40:00.624,run_799,19.9,40960000,5872311890,,,1
2025-09-05 04:40:00.733,run_799,0.0,40960000,6558340290,,,1
2025-09-05 04:40:00.827,run_799,0.0,40960000,8879018362,,,1
2025-09-05 04:40:00.929,run_799,20.0,40960000,6784099797,,,1
2025-09-05 04:40:01.027,run_799,20.0,40960000,6622087241,,,1
2025-09-05 04:40:01.137,run_799,0.0,40960000,7744303760,,,1
2025-09-05 04:40:01.222,run_799,0.0,40960000,7467635880,,,1
2025-09-05 04:40:01.323,run_799,20.0,40960000,6674532546,,,1
2025-09-05 04:40:01.429,run_799,20.0,40960000,8170888729,,,1
2025-09-05 04:40:01.529,run_799,20.0,40960000,6491514958,,,1
2025-09-05 04:40:01.630,run_799,20.0,40960000,8549251112,,,1
2025-09-05 04:40:01.734,run_799,0.0,40960000,7390487595,,,1
2025-09-05 04:40:01.811,run_799,0.0,40960000,6997092512,,,1
2025-09-05 04:40:01.924,run_799,0.0,40960000,6612124415,,,1
2025-09-05 04:40:02.028,run_799,20.0,40960000,6434521174,,,1
2025-09-05 04:40:02.109,run_799,20.0,40960000,8298922124,,,1
2025-09-05 04:40:02.224,run_799,20.0,40960000,6185651027,,,1
